query,recommended artists,all tags
music for a funeral,"Leonard Cohen, Roy Orbison, Johnny Cash, Nick Drake, Jeff Buckley","Synthetic, ULM 24B"
Christmas music,"Michael Bublé, Nat King Cole, Bing Crosby, Frank Sinatra, John Denver","Synthetic, ULM 24B"
80s bands,"Depeche Mode, The Cure, U2, OMD, Men Without Hats","Synthetic, ULM 24B"
happy songs,"The Beatles, Hall & Oates, ABBA, The Beach Boys, Michael Jackson","Synthetic, ULM 24B"
funky dance music,"Kool & The Gang, Fatback Band, Earth, Wind & Fire, Chaka Khan, Parliament","Synthetic, ULM 24B"
metal and hard rock,"Black Sabbath, Led Zeppelin, KISS, AC/DC, Judas Priest","Synthetic, ULM 24B"
music for getting hyped,"Kanye West, Skrillex, Justice, Major Lazer, Flo Rida","Synthetic, ULM 24B"
ambient music,"Brian Eno, Moby, Tim Hecker, Boards of Canada, Aphex Twin","Synthetic, ULM 24B"
hard rock music,"Iron Maiden, Tool, Led Zeppelin, Metallica, The Rolling Stones","Synthetic, ULM 24B"
hard-core rock music,"Lamb of God, Megadeth, Slayer, Anthrax, System of a Down","Synthetic, ULM 24B"
heavy rock,"Queens of the Stone Age, Queensryche, Soundgarden, Stone Temple Pilots, Alice in Chains","Synthetic, ULM 24B"
dance music that is mellow and relaxing,"The XX, Caribou, Flying Lotus, Four Tet, Gold Panda","Synthetic, ULM 24B"
electronica that isn't boring,"Hot Chip, The Avalanches, Boards of Canada, Aphex Twin, Moby","Synthetic, ULM 24B"
indie pop,"The XX, Passion Pit, The Postal Service, Arcade Fire, Grizzly Bear","Synthetic, ULM 24B"
music that isn't just pop music,"Radiohead, The Rolling Stones, Jimi Hendrix, Led Zeppelin, David Bowie","Synthetic, ULM 24B"
music for a rave,"Underworld, Aphex Twin, Daft Punk, Moby, Prodigy","Synthetic, ULM 24B"
electronic music for a road trip,"Kanye West, David Bowie, Arcade Fire, The Strokes","Synthetic, ULM 24B"
music about love,"The Beach Boys, The Beatles, Simon & Garfunkel, Otis Redding, John Legend","Synthetic, ULM 24B"
electronic music that sounds like an orchestra,"M83, Justice, Moderat, Daft Punk, The Chemical Brothers","Synthetic, ULM 24B"
rock with horns,"Chicago, Blood Sweat & Tears, Rush, Steely Dan, Cake","Synthetic, ULM 24B"
singer-songwriter folk music,"Bob Dylan, Simon & Garfunkel, Joni Mitchell, Leonard Cohen, Carole King","Synthetic, ULM 24B"
bands from the 90s,"Weezer, Green Day, The Smashing Pumpkins, Soundgarden, Hole","Synthetic, ULM 24B"
jazz-inspired,"Snarky Puppy, Snarky Puppy - The Four Valleys, Snarky Puppy - Bad Kids to the Front, Snarky Puppy - Thing of Gold, Snarky Puppy - Something's Coming","Synthetic, ULM 24B"
jazzy funk,"Tower of Power, Maceo Parker, Sharon Jones & The Dap-Kings, The Meters, Jamiroquai","Synthetic, ULM 24B"
alternative 80s pop,"The Cure, Depeche Mode, The Smiths, Joy Division, Tears for Fears","Synthetic, ULM 24B"
orchestral arrangements,"Thomas Newman, Hans Zimmer, Alan Menken, Danny Elfman, Ennio Morricone","Synthetic, ULM 24B"
music that sounds sexy,"Earth, Wind, & Fire, Aaliyah, Tom Jones, Michael Bublé","Synthetic, ULM 24B"
avant garde,"John Cage, Meredith Monk, Philip Glass, Laurie Anderson, Steve Reich","Synthetic, ULM 24B"
music to listen to while studying,"Bonobo, Thievery Corporation, Massive Attack, The Cinematic Orchestra, Tycho","Synthetic, ULM 24B"
classical music for kids,"Mozart, Tchaikovsky, Brahms, Vivaldi, Telemann","Synthetic, ULM 24B"
folk music that isn't boring,"Neutral Milk Hotel, Wilco, Joanna Newsom, Bob Dylan","Synthetic, ULM 24B"
hip hop instrumentals,"DJ Shadow, Pete Rock & CL Smooth, The Pharcyde, DJ Quik, RJD2","Synthetic, ULM 24B"
relaxing music,"Enya, Enigma, Deep Forest, Yanni, Vangelis","Synthetic, ULM 24B"
hip-hop music,"Public Enemy, A Tribe Called Quest, NWA, Kanye West, Wu-Tang Clan","Synthetic, ULM 24B"
dance music that isn't harsh,"Kanye West, James Murphy, Daft Punk, LCD Soundsystem, Fatboy Slim","Synthetic, ULM 24B"
electronic music with a beat,"Burial, Four Tet, Bonobo, Flying Lotus, Aphex Twin","Synthetic, ULM 24B"
heavy metal,"Black Sabbath, Black Flag, Pantera, Metallica, Slayer","Synthetic, ULM 24B"
music for when you're sad,"Radiohead, Bon Iver, The Smiths, Jeff Buckley, Elliott Smith","Synthetic, ULM 24B"
the Beatles song,"The Beatles, The Beastie Boys, The Beach Boys, The Bee Gees, Björk","Synthetic, ULM 24B"
folk music,"Woods, Fleet Foxes, Bob Dylan, Simon & Garfunkel","Synthetic, ULM 24B"
a cappella,"Pentatonix, Home Free, Sweet Honey in the Rock, The Real Group, Anonymous 4","Synthetic, ULM 24B"
classic rock,"Pink Floyd, The Eagles, The Rolling Stones, Led Zeppelin, Jimi Hendrix","Synthetic, ULM 24B"
music from the 1980s,"Prince, Madonna, Michael Jackson, The Police, The Cure","Synthetic, ULM 24B"
classical music,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven","Synthetic, ULM 24B"
piano music,"Ludwig van Beethoven, Wolfgang Amadeus Mozart, Frederic Chopin, Franz Liszt","Synthetic, ULM 24B"
songs about love,"The Beach Boys, Elvis Presley, Frank Sinatra, The Beatles, Louis Armstrong","Synthetic, ULM 24B"
classical music,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn","Synthetic, ULM 24B"
music for relaxing,"Yoga Sounds, Enya, Yanni, Vangelis, Enya","Synthetic, ULM 24B"
electronic dance music,"Daft Punk, Justice, DJ Snake, deadmau5, DJ Khaled","Synthetic, ULM 24B"
classical for bedtime,"Johann Pachelbel, Georg Philipp Telemann, Johann Sebastian Bach, Henry Purcell, George Frideric Handel","Synthetic, ULM 24B"
indie hip hop,"Theophilus London, Childish Gambino, A$AP Ferg, Joey Bada$$, Vince Staples","Synthetic, ULM 24B"
chill out music with drums,"Bonobo, Thievery Corporation, Massive Attack, The Cinematic Orchestra","Synthetic, ULM 24B"
good old-fashioned rock and roll,"Queen, The Rolling Stones, The Beatles, Led Zeppelin, David Bowie","Synthetic, ULM 24B"
indie pop music,"Of Monsters And Men, Foster The People, Mumford & Sons, Vampire Weekend","Synthetic, ULM 24B"
music for studying,"Hans Zimmer, Emancipator, Brian Eno, Tycho, Solar Fields","Synthetic, ULM 24B"
folk rock,"Dave Van Ronk, Bob Dylan, Richard Shindell, John Gorka, Ani Difranco","Synthetic, ULM 24B"
music for exercising,"Kanye West, Jay-Z, Kendrick Lamar, Nicki Minaj, Kanye West","Synthetic, ULM 24B"
classic rock,"The Beatles, Led Zeppelin, Pink Floyd, Jimi Hendrix, The Rolling Stones","Synthetic, ULM 24B"
music for getting shit done,"The Glitch Mob, Amon Tobin, Thievery Corporation, Justice","Synthetic, ULM 24B"
pop music,"Miley Cyrus, The 1975, Coldplay, Sia, Ed Sheeran","Synthetic, ULM 24B"
experimental music,"Sonic Youth, Captain Beefheart, Aphex Twin, Sun Ra, Frank Zappa","Synthetic, ULM 24B"
classical music,"Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig Van Beethoven, Giuseppe Verdi, Claude Debussy","Synthetic, ULM 24B"
acoustic rock,"Kings of Leon, Jack Johnson, Muse, Counting Crows, The Strokes","Synthetic, ULM 24B"
music to write to,"Brian Eno, Jon Hopkins, Steve Roach, Aphex Twin, Nils Frahm","Synthetic, ULM 24B"
classic rap,"N.W.A, Public Enemy, Run DMC, Eric B. & Rakim, Gang Starr","Synthetic, ULM 24B"
songs that make me cry,"Joanna Newsom, Leonard Cohen, Sufjan Stevens, Elliott Smith, The Smiths","Synthetic, ULM 24B"
indie rock,"The Mars Volta, Modest Mouse, Radiohead, M.I.A., Gorillaz","Synthetic, ULM 24B"
instrumental songs with strong rhythm,"Nirvana, The Smashing Pumpkins, Weezer, Muse, The Black Keys","Synthetic, ULM 24B"
classical music that isn't boring,"Astor Piazzolla, Gustav Holst, Samuel Barber, Dmitri Shostakovitch, Aaron Copland","Synthetic, ULM 24B"
modern classical music that is epic,"Howard Shore, Christopher Nolan, Vangelis, Hans Zimmer, Trevor Jones","Synthetic, ULM 24B"
jazz that isn't too challenging​,"Billie Holliday, Oscar Peterson, Miles Davis, Charles Mingus, Nina Simone","Synthetic, ULM 24B"
ambient music,"Klaus Schulze, Tangerine Dream, Brian Eno, Aphex Twin, Jean-Michel Jarre","Synthetic, ULM 24B"
classical music that's fun to listen to,"Johann Sebastian Bach, W​olfgang Amadeus Mozart, Ludwig van Beethoven, Sergei Rachmaninov, Franz Schubert","Synthetic, ULM 24B"
music that sounds like a dark movie,"Pink Floyd, Radiohead, The Smashing Pumpkins, Portishead, Massive Attack","Synthetic, ULM 24B"
metal with a female vocalist,"The Runaways, The Donnas, L7, Jinjer, Arch Enemy","Synthetic, ULM 24B"
chamber music,"Claude Debussy, Benjamin Britten, Dmitri Shostakovich, Aaron Copland, Maurice Ravel","Synthetic, ULM 24B"
piano solo,"Thelonious Monk, Bill Evans, Keith Jarrett, Chick Corea, Frederic Chopin","Synthetic, ULM 24B"
female singer-songwrit​ers with full bands,"Sarah McLachlan, Norah Jones, Cat Power, Lisa Hannigan, Lisa Hannigan","Synthetic, ULM 24B"
acoustic music with percussion,"Emancipator, The Radio Dept., Boards of Canada, Explosions in the Sky, Múm","Synthetic, ULM 24B"
psychedelic music that isn't electronic,"The Beatles, Pink Floyd, Jimi Hendrix, Jimi Hendrix, The Doors","Synthetic, ULM 24B"
indie rock,"Arcade Fire, The Strokes, Sonic Youth, Interpol, Belle and Sebastian","Synthetic, ULM 24B"
experimental rock,"The Beatles, The Flaming Lips, Sonic Youth, David Bowie","Synthetic, ULM 24B"
modern piano music,"John Williams, Yann Tiersen, Philip Glass, Ryuichi Sakamoto, Arvo Part","Synthetic, ULM 24B"
new music from the 50s,"The Beach Boys, The Beatles, Carole King, The Rolling Stones, Simon & Garfunkel","Synthetic, ULM 24B"
singers who sing in Spanish,"Mercedes Sosa, Silvio Rodríguez, Los Lobos, Lila Downs, Shakira","Synthetic, ULM 24B"
singing cowboys,"Gene Autry, Roy Rogers, John Wayne, Willie Nelson, Dean Martin","Synthetic, ULM 24B"
opera singers,"Maria Callas, Luciano Pavarotti, Andrea Bocelli, Placido Domingo","Synthetic, ULM 24B"
electronic dance music,"David Guetta, Eric Prydz, Tiesto, Deadmau5, Steve Aoki, Bob Sinclar","Synthetic, ULM 24B"
the soundtrack to my childhood,"The Beatles, Carole King, Ray Charles, Louis Armstrong, Chuck Berry","Synthetic, ULM 24B"
punk bands,"The Clash, The Sex Pistols, The Ramones, Blondie","Synthetic, ULM 24B"
rock for the baby,"The Beatles, The Beach Boys, The B-52's, They Might Be Giants, Barenaked Ladies","Synthetic, ULM 24B"
punk rock,"Green Day, Dropkick Murphys, The Clash, Foo Fighters, Sex Pistols","Synthetic, ULM 24B"
rock with trumpets,"Chicago, Blood Sweat & Tears, Tower of Power, Queen, Muse","Synthetic, ULM 24B"
guitar-based rock music,"The White Stripes, The Beatles, Led Zeppelin, The Who, Pink Floyd","Synthetic, ULM 24B"
big band,"Glenn Miller, Duke Ellington, Count Basie, Benny Goodman, Artie Shaw","Synthetic, ULM 24B"
rock without guitar solos,"Marvin Gaye, The Supremes, The Four Tops, Diana Ross & the Supremes, The 5th Dimension","Synthetic, ULM 24B"
modern pop that isn't bland,"Radiohead, Arcade Fire, The Killers, MGMT","Synthetic, ULM 24B"
music to relax to,"Michael Hedges, Enya, Brian Eno, Sigur Rós, Enigma","Synthetic, ULM 24B"
music you might hear in a French café,"Édith Piaf, Serge Gainsbourg, Dalida, Juliette Gréco, Charles Aznavour","Synthetic, ULM 24B"
classical for people who don't like classical,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn","Synthetic, ULM 24B"
indie rock,"Neutral Milk Hotel, The Mountain Goats, Joanna Newsom, Elliott Smith, Swans","Synthetic, ULM 24B"
singers who aren't icky,"Bob Dylan, Nina Simone, Tom Waits, Ella Fitzgerald, Billie Holiday","Synthetic, ULM 24B"
punk rock,"The Clash, The Sex Pistols, Crass","Synthetic, ULM 24B"
indie folk,"Neutral Milk Hotel, Joanna Newsom, Sufjan Stevens, Arcade Fire, Devendra Banhart","Synthetic, ULM 24B"
classic dance music,"Chick Corea, Herbie Hancock, Yellow Magic Orchestra, Stevie Wonder, Jean-Michel Jarre","Synthetic, ULM 24B"
opera in film,"Puccini, Verdi, Bizet, Mozart, Wagner","Synthetic, ULM 24B"
classical music without singing,"Gustav Mahler, Dmitri Shostakovich, Pyotr Ilyich Tchaikovsky, Sergei Rachmaninoff, Gustav Mahler","Synthetic, ULM 24B"
classical​ music,"Jóhann Jóhannsson, Arvo Pärt, Philip Glass, Steve Reich, Yann Tiersen","Synthetic, ULM 24B"
ambient music that doesn't make you sleepy,"Kronos Quartet, Aphex Twin, Four Tet, Boards of Canada, Flying Lotus","Synthetic, ULM 24B"
opera singers with big voices,"Leontyne Price, Maria Callas, Montserrat Caballé, Luciano Pavarotti, Plácido Domingo","Synthetic, ULM 24B"
opera,"Placido Domingo, Luciano Pavarotti, Cecilia Bartoli, Luciano Pavarotti, Maria Callas","Synthetic, ULM 24B"
classic rock that is actually good,"The Beatles, Pink Floyd, Rush, Led Zeppelin, The Rolling Stones, The Doors, The Kinks, The Who, The Beach Boys, Eric Clapton, Bob Dylan, Genesis, The Jimi Hendrix Experience, The Doors","Synthetic, ULM 24B"
ambient music for studying or sleeping to,"Brian Eno, Tycho, Nils Frahm, Aphex Twin (less the harsh stuff), Sigur Rós","Synthetic, ULM 24B"
techno music that doesn't sound like trance,"Laurent Garnier, Richie Hawtin, Jeff Mills, Ben Klock, Chris Liebing","Synthetic, ULM 24B"
folk / roots / country,"Robert Plant & Alison Krauss, Lucinda Williams, Gillian Welch, Fleet Foxes, The Band","Synthetic, ULM 24B"
chamber music,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn","Synthetic, ULM 24B"
opera,"George Frideric Handel, Wolfgang Amadeus Mozart, Richard Wagner, Vincenzo Bellini, Gioachino Rossini","Synthetic, ULM 24B"
acoustic guitarists,"Jim Croce, The Kingston Trio, Simon and Garfunkel","Synthetic, ULM 24B"
symphony orchestra,"George Frideric Handel, Johann Sebastian Bach, Wolfgang Amadeus Mozart, Ludwig van Beethoven, Franz Joseph Haydn","Synthetic, ULM 24B"
orchestra,"Béla Bartók, Johannes Brahms, Pjotr Il'jitsch Tchaikovsky, Piotr Ilyich Tchaïkovsky, Anton Bruckner","Synthetic, ULM 24B"
romantic era music,"Franz Schubert, Edvard Grieg, Robert Schumann","Synthetic, ULM 24B"
classical piano music,"Franz Liszt, Frederic Chopin, Richard Wagner, Sergei Rachmaninoff, Johannes Brahms","Synthetic, ULM 24B"
instrumental hip-hop,"Flying Lotus, Bonobo, Nujabes, Quantic, DJ Shadow","Synthetic, ULM 24B"
classical piano music,"Maurice Ravel, Pyotr Ilyich Tchaikovsky, Frederic Chopin, Johann Sebastian Bach, Ludvig Von Beethoven","Synthetic, ULM 24B"
instrumental music,"The Beatles, Led Zeppelin, Cream, King Crimson, Fleetwood Mac","Synthetic, ULM 24B"
instrumental chamber orchestra,"Claude Debussy, Wolfgang Amadeus Mozart, Antonin Dvorak, Ludwig van Beethoven","Synthetic, ULM 24B"
classic instrumental rock,"Jethro Tull, The Electric Light Orchestra, Frank Zappa, Frank Zappa, Frank Zappa","Synthetic, ULM 24B"
classical opera,"Richard Wagner, Giuseppe Verdi, Jacques Offenbach, Gaetano Donizetti, Giacomo Puccini","Synthetic, ULM 24B"
classic rock,"The Beatles, Led Zeppelin, The Rolling Stones, Pink Floyd, Queen","Synthetic, ULM 24B"
folk artists,"Neutral Milk Hotel, Fleet Foxes, Simon & Garfunkel, Bob Dylan, Fleet Foxes","Synthetic, ULM 24B"
music that makes you sad,"Evanescence, AFI, Linkin Park, Paramore, Radiohead","Synthetic, ULM 24B"
heavy metal,"Black Sabbath, Metallica, Megadeth, Lamb of God, Judas Priest","Synthetic, ULM 24B"
funk and ska,"Parliament, Prince, Fela Kuti, Yellow Magic Orchestra, The Clash","Synthetic, ULM 24B"
electronica,"Portishead, Goldfrapp, Massive Attack, Boards of Canada, Röyksopp","Synthetic, ULM 24B"
classic rock,"The Beatles, The Beach Boys, Pink Floyd, Stevie Wonder, The Doors","Synthetic, ULM 24B"
metal,"Metallica, Anthrax, Pantera, Slayer, Death","Synthetic, ULM 24B"
jazz for a party,"Miles Davis, Fats Waller, Herbie Hancock, Louis Armstrong, Nina Simone","Synthetic, ULM 24B"
weird​ and wild,"Mystery Jets, Beirut, The Antlers, The Strokes, Sufjan Stevens","Synthetic, ULM 24B"
metal that isn't harsh,"Deftones, Opeth, Porcupine Tree, Tool, Faith No More","Synthetic, ULM 24B"
electronic and jazz music,"Herbie Hancock, Flying Lotus, Gold Panda, Caribou, Four Tet","Synthetic, ULM 24B"
alternative hip hop,"De La Soul, Public Enemy, Beastie Boys, A Tribe Called Quest, Run-D.M.C.","Synthetic, ULM 24B"
rock n roll,"The Beatles, Chuck Berry, Bill Haley and His Comets, Buddy Holly, Elvis Presley","Synthetic, ULM 24B"
techno,"Aphex Twin, µ-Ziq, Flying Lotus, Caribou, Autechre","Synthetic, ULM 24B"
classical music of the roaring twenties,"George Gershwin, Hoagy Carmichael, Cole Porter, John Lessard, George & Ira Gershwin","Synthetic, ULM 24B"
folk music,"Woody Guthrie, Pete Seeger, Johnny Cash, Bob Dylan, Joan Baez","Synthetic, ULM 24B"
pop music,"Adele, Lady Gaga, Rihanna, Jay-Z, Eminem","Synthetic, ULM 24B"
alternative modern rock,"Pixies, Arcade Fire, Joy Division, The White Stripes, The Talking Heads","Synthetic, ULM 24B"
heavy rap music,"Public Enemy, Dr. Dre, OutKast, Gang Starr, N.W.A.","Synthetic, ULM 24B"
electronic music with female vocals,"Ladytron, Feist, Austra, Grimes, Ellie Goulding","Synthetic, ULM 24B"
music to relax to,"John Fahey, Ry Cooder, Nick Drake, Brian Eno, The Magnetic Fields","Synthetic, ULM 24B"
jazz-rock,"Steely Dan, Toto, Tower of Power, Snarky Puppy, Chick Corea","Synthetic, ULM 24B"
electronica / dubstep,"Flying Lotus, Daft Punk, Chromeo, Crystal Castles, The Prodigy","Synthetic, ULM 24B"
good music for the gym,"The Prodigy, 2 Chainz, Eminem, Rage Against the Machine, Pitbull","Synthetic, ULM 24B"
jazz for dancing,"Sade, The Brand New Heavies, Tower of Power, Herbie Hancock, PFM","Synthetic, ULM 24B"
punk rock for people who don't like punk rock,"The Hold Steady, The Gaslight Anthem, Hot Water Music, The Pogues, Bruce Springsteen","Synthetic, ULM 24B"
orchestral film music,"Philip Glass, Danny Elfman, Hans Zimmer, John Williams","Synthetic, ULM 24B"
good indie rock,"The Kinks, Big Star, XTC, Pavement, The Replacements","Synthetic, ULM 24B"
singers with really deep voices,"Barry White, Tom Waits, James Brown, Barry White, Tom Waits","Synthetic, ULM 24B"
music with a weird vibe,"Neutral Milk Hotel, The Beatles, Sufjan Stevens, Frank Zappa, Tom Waits","Synthetic, ULM 24B"
singers with really low voices,"Bettye LaVette, Dolly Parton, Bill Withers, Johnny Cash, Roy Orbison","Synthetic, ULM 24B"
music for a romantic dinner,"The Cinematic Orchestra, Ludovico Einaudi, Nils Frahm, Philip Wesley, Nils Frahm","Synthetic, ULM 24B"
songs that are sad but happy at the same time,"Neutral Milk Hotel, Beirut, Sufjan Stevens, Sigur Rós","Synthetic, ULM 24B"
jazz that isn't boring,"Flying Lotus, Miles Davis, John Coltrane, Thelonious Monk, Herbie Hancock","Synthetic, ULM 24B"
indie music,"Neutral Milk Hotel, Animal Collective, Death Cab for Cutie, Spoon, The Mountain Goats","Synthetic, ULM 24B"
folk that isn't country,"Fleet Foxes, Bright Eyes, Neko Case, Bon Iver","Synthetic, ULM 24B"
music for an engagement party,"The Beatles, The Beach Boys, Frank Sinatra, Louis Armstrong, Ella Fitzgerald","Synthetic, ULM 24B"
guitar solos,"Pink Floyd, Eric Clapton, Steve Vai, Jeff Beck, Jimmy Page","Synthetic, ULM 24B"
metal bands with clean vocals,"Korn, Linkin Park, Slipknot, Disturbed, Avenged Sevenfold","Synthetic, ULM 24B"
hip hop with a funky rhythm,"A Tribe Called Quest, Gang Starr, Deltron 3030, Public Enemy, Outkast","Synthetic, ULM 24B"
music that is upbeat and happy,"The Beach Boys, Ray Charles, Steely Dan, The Beatles, Hall and Oates","Synthetic, ULM 24B"
guitar hero music,"The Rolling Stones, Lynyrd Skynyrd, Johnny Cash, Bruce Springsteen, Led Zeppelin","Synthetic, ULM 24B"
music for the morning,"Elbow, The Tallest Man on Earth, Paul Simon, Mumford & Sons","Synthetic, ULM 24B"
singers with really low voices,"Barry White, Leonard Cohen, Tom Waits, Johnny Cash, Bobby McFerrin","Synthetic, ULM 24B"
songs for the road,"Arlo Guthrie, James Taylor, John Denver, Joni Mitchell","Synthetic, ULM 24B"
music that sounds like nature,"Enya, Yanni, Era, Deep Forest, Enigma","Synthetic, ULM 24B"
singers with really low voices,"Barry White, Bobby McFerrin, Leonard Cohen, Tom Jones","Synthetic, ULM 24B"
music for road trips,"Tom Petty, Bruce Springsteen, Dire Straits, The Rolling Stones","Synthetic, ULM 24B"
singers with really low voices,"Harry Nilsson, Barry White, Elvis Presley, Lou Reed, Tom Waits","Synthetic, ULM 24B"
songs about love,"The Beatles, Simon & Garfunkel, Otis Redding, Marvin Gaye","Synthetic, ULM 24B"
danceable indie music,"The Magnetic Fields, The Shins, Modest Mouse, Grizzly Bear, Neutral Milk Hotel","Synthetic, ULM 24B"
music for studying,"Brian Eno, Steve Reich, Philip Glass, Hans Zimmer, Explosions in the Sky","Synthetic, ULM 24B"
pop music to calm down to,"Röyksopp, Boards of Canada, Sigur Rós, Explosions in the Sky, Yo La Tengo","Synthetic, ULM 24B"
indie rock,"The Strokes, Arcade Fire, The Killers, Mumford & Sons, Kings of Leon","Synthetic, ULM 24B"
guitar-oriented rock music,"Weezer, The Black Keys, Jack White, The Kinks, Tom Petty","Synthetic, ULM 24B"
jazz fusion,"Miles Davis, Herbie Hancock, Weather Report, Wayne Shorter, Ahmad Jamal","Synthetic, ULM 24B"
instrumental music with lots of bass,"Kendrick Lamar, Eminem, Run the Jewels, Kanye West, Public Enemy","Synthetic, ULM 24B"
